iso2_code;language;entry01;consider00;pci;ubiquity;rca01;density
RS;CMake;0;1;1.8102499941879904;35.0;0.0;0.0871562195937326
RS;Go;1;0;1.287478056663491;26.0;1.0;0.0841801603890804
RS;Jupyter Notebook;0;1;0.5112019474097586;24.0;0.0;0.1044677457308676
RS;Kotlin;0;1;-0.3649067402491252;57.0;0.0;0.337689555346313
RS;Objective-C;0;1;0.1069283514475007;45.0;0.0;0.2048343163296885
RS;Perl;0;1;1.8863560192802729;30.0;0.0;0.079515730094391
RS;Python;0;1;-0.0515691656205541;55.0;0.0;0.1488109604377163
RS;Roff;0;1;2.065574294940661;29.0;0.0;0.0716594142562658
RS;Ruby;0;1;-0.8041688921409909;56.0;0.0;0.2757724687039943
RS;Shell;0;1;-0.2279389609062087;76.0;0.0;0.19063752198776
RS;Swift;0;1;-0.3984229658803768;48.0;0.0;0.3023312057441999
RU;ASP.NET;0;1;0.26818052367674;38.0;0.0;0.5149346029727618
RU;Ada;1;0;2.3087594313803232;9.0;1.0;0.5751292650623027
RU;Blade;0;1;-0.4723381228715559;54.0;0.0;0.4730926202886664
RU;CSS;0;1;-1.203894976903993;108.0;0.0;0.3641490622990338
RU;CoffeeScript;0;1;0.6534558130059742;19.0;0.0;0.5254753625180112
RU;Cuda;0;1;2.2742335047907805;16.0;0.0;0.5941915584668046
RU;Dart;0;1;-0.6366428602148355;37.0;0.0;0.4311743999370399
RU;Emacs Lisp;0;1;2.170200440802224;22.0;0.0;0.5961247198473387
RU;Fortran;0;1;2.373897566350091;16.0;0.0;0.5999126737432935
RU;GAP;1;0;2.5586158171131546;13.0;1.0;0.6091753395822221
RU;Gherkin;0;1;1.6714514560053877;27.0;0.0;0.5913147566257373
RU;Gnuplot;0;1;2.5787673257190895;12.0;0.0;0.6053275708072982
RU;Groovy;0;1;2.045672644939932;28.0;0.0;0.6036937982392516
RU;HCL;0;1;2.081247572247573;23.0;0.0;0.593378037249938
RU;HTML;0;1;-1.2864110948733187;117.0;0.0;0.3711764705882352
RU;Hack;0;1;-0.452883550093042;53.0;0.0;0.4711329642638341
RU;Handlebars;0;1;0.5673587643756741;36.0;0.0;0.527121723427592
RU;JavaScript;0;1;-1.0682499970793824;113.0;0.0;0.3882137513882638
RU;Julia;0;1;2.236724776445191;17.0;0.0;0.5954784594295164
RU;Jupyter Notebook;0;1;0.5112019474097586;24.0;0.0;0.5369061501164526
RU;M;0;1;2.3431916167814553;14.0;0.0;0.5883959944614786
RU;MATLAB;0;1;1.851954626548087;25.0;0.0;0.5955791055092561
RU;Mathematica;1;0;2.5432406489264916;13.0;1.0;0.5976482452404406
RU;Nix;0;1;2.5090569737444075;14.0;0.0;0.6141581713286426
RU;Objective-C;0;1;0.1069283514475007;45.0;0.0;0.5328250409341455
RU;Perl;0;1;1.8863560192802729;30.0;0.0;0.6031479507778806
RU;Processing;0;1;1.9640573255992255;17.0;0.0;0.5912143207221183
RU;R;0;1;1.1157321177845223;31.0;0.0;0.5709960423933309
RU;Ruby;0;1;-0.8041688921409909;56.0;0.0;0.4616166762459964
RU;Rust;0;1;2.066526429861059;25.0;0.0;0.6005137659098662
RU;SCSS;1;0;-0.6494982578622338;90.0;1.0;0.4567815587436672
RU;SWIG;0;1;2.572143937379068;12.0;0.0;0.5954447475598237
RU;Scheme;0;1;2.390885628355661;15.0;0.0;0.5955827175515691
RU;Shell;0;1;-0.2279389609062087;76.0;0.0;0.5266517568173661
RU;Smarty;0;1;1.940829555675328;30.0;0.0;0.606335800156234
RU;Starlark;0;1;0.5548298125965115;19.0;0.0;0.5127810862989853
RU;TSQL;0;1;-0.3789268824364155;61.0;0.0;0.4869369170918477
RU;Tcl;0;1;2.1827691720574443;26.0;0.0;0.6121857759407376
RU;TeX;0;1;1.639072434856775;28.0;0.0;0.5919067084569853
RU;TypeScript;0;1;-0.1389597189676882;75.0;0.0;0.5043467159853559
RU;Verilog;0;1;2.1085684992916183;15.0;0.0;0.5965892341880793
RU;Vim Script;0;1;1.9750874907129656;27.0;0.0;0.5952407529556669
RU;Vim Snippet;0;1;2.46258974872148;14.0;0.0;0.6112497027322537
RU;XSLT;0;1;1.7269077328857083;31.0;0.0;0.593398293163699
RW;Python;0;1;-0.0515691656205541;55.0;0.0;0.1261822859169834
SA;Batchfile;0;1;1.754625822469334;36.0;0.0;0.0875339762671429
SA;C++;1;0;1.185716911826135;36.0;1.0;0.1005329211706778
SA;Dockerfile;0;1;0.9633754239112304;45.0;0.0;0.1255396455224454
SA;Go;0;1;1.287478056663491;26.0;0.0;0.0877061926402655
SA;Makefile;0;1;1.5591381085575713;38.0;0.0;0.0924705386547377
SA;TypeScript;0;1;-0.1389597189676882;75.0;0.0;0.2655472840683536
SA;Vue;0;1;-0.590525457249937;48.0;0.0;0.3465335943112703
