iso2_code;cluster_id;entry01;consider00;pci;ubiquity;rca01;density
BR;27.0;0;1;0.8315979590923113;26.0;0.0;0.1233516917844873
BR;28.0;0;1;1.1896832927026175;21.0;0.0;0.11769247545389
BR;29.0;0;1;1.1796616803860769;21.0;0.0;0.0899624960501825
BR;31.0;0;1;1.326251025229891;10.0;0.0;0.1338190887461076
BR;32.0;0;1;1.3371071495816034;14.0;0.0;0.1090275965235503
BR;33.0;0;1;1.2731177358659194;17.0;0.0;0.0972914946652658
BR;34.0;0;1;1.176690018020767;19.0;0.0;0.0916783690381153
BR;35.0;0;1;1.3545552227173967;15.0;0.0;0.1317527811835764
BR;37.0;0;1;1.4109686100264884;12.0;0.0;0.1307609236803653
BR;38.0;0;1;0.7834461732581935;25.0;0.0;0.1979171201930239
BR;39.0;0;1;1.18661736077012;20.0;0.0;0.0996322610957167
BR;41.0;0;1;1.1557488824238515;29.0;0.0;0.1201408919237479
BR;42.0;0;1;1.1106494705617524;23.0;0.0;0.0953774184281748
BR;43.0;0;1;1.2862797941241264;17.0;0.0;0.0954203186498832
BR;44.0;0;1;1.2600128962239177;13.0;0.0;0.1300193646423789
BR;45.0;0;1;1.1820480417872556;18.0;0.0;0.1138583252715045
BR;46.0;0;1;1.3016976092068837;13.0;0.0;0.1279793501258044
BR;47.0;0;1;1.418191118611;12.0;0.0;0.1227302604726672
BR;51.0;0;1;1.307582550158649;12.0;0.0;0.1011361611239458
BR;52.0;0;1;1.3453357440129528;14.0;0.0;0.1397994948204673
BR;53.0;0;1;1.4293169299235329;13.0;0.0;0.1316780661237696
BR;55.0;0;1;1.397420886768537;15.0;0.0;0.129126336467986
BR;56.0;0;1;1.3324960295291093;14.0;0.0;0.1364773588432191
BR;57.0;0;1;0.99968770947611;18.0;0.0;0.1504813085700954
BR;59.0;0;1;1.12648430291845;17.0;0.0;0.1602690528054537
BY;1.0;0;1;-2.1965966891388464;33.0;0.0;0.2269340428514465
BY;2.0;0;1;0.6857744079889588;12.0;0.0;0.1146954825096034
BY;3.0;0;1;0.7833126064179957;10.0;0.0;0.1057562750864504
BY;5.0;0;1;0.1017500727985483;33.0;0.0;0.3366516363199617
BY;8.0;0;1;-0.0585876741607944;80.0;0.0;0.4204152249134947
BY;10.0;0;1;-0.7677834872566762;19.0;0.0;0.1141673415644252
BY;11.0;0;1;-0.9053943017322462;38.0;0.0;0.1161976480668647
BY;12.0;0;1;1.1904149973858782;13.0;0.0;0.1073126204938702
BY;16.0;0;1;1.166622882986038;8.0;0.0;0.1299692418685786
BY;19.0;1;0;-0.1315802239610624;49.0;1.0;0.3845953700369153
BY;24.0;0;1;1.02771884270935;29.0;0.0;0.2317926354414312
BY;34.0;0;1;1.176690018020767;19.0;0.0;0.1771340292877803
