iso2_code;year;developers;software_eci_2020;trade_eci_2020;tech_eci_2020;research_eci_2020;iso3_code;pop_o;gdp_o;gdpcap_o;gdp_ppp_o;gdpcap_ppp_o;gini_mean;country;emissions;nat_res
IN;2020;4934870;1.4088592605072656;0.5613776815;1.003935563;-0.4528170421;IND;1380004.395;2667687951.797;1.933;9005119325.893;6.525;35.11666666666667;IND;5.935077663;4.725338195
IQ;2020;65208;-0.4138520581240899;-0.6714420934;;-1.085413686;IRQ;40222.504;184369797.315;4.584;400388682.214;9.954;29.5;;;
IR;2020;240176;-0.1976903316515735;-0.1136794792;0.2916843713;0.2945717115;IRN;83992.95;231547571.24;2.757;1326346118.342;15.791;39.91428571428571;IRN;6.542483299;6.226260743
IS;2020;16546;-0.0150881672371957;;;;ISL;366.463;21718075.725;59.264;19648531.128;53.617;26.637500000000003;;;
IT;2020;536082;1.8809469511224723;1.3065323342;1.353644578;1.680039443;ITA;59449.528;1892574064.222;31.835;2496155798.766;41.988;35.09;ITA;5.035637433;7.9285282
JE;2020;1827;;;;;;;;;;;;;;
JM;2020;13250;-0.7507097970133004;-0.3732275434;;0.6260845285;JAM;2961.161;13812425.037;4.665;27363561.327;9.241;;JAM;5.798409349;5.71245827
JO;2020;43928;-0.586420034752426;-0.0785237083;-0.9755514939;-0.1867159873;JOR;10203.14;43697659.296;4.283;105644985.145;10.354;33.7;JOR;5.83815937;5.608535388
JP;2020;1284568;1.8541894837091104;2.1908829483;0.8829751167;0.6178212285;JPN;126261.002;5040107754.084;39.918;5315620636.313;42.1;32.5;JPN;5.396907531;6.708262174
KE;2020;105178;-0.2375019669566063;-0.4886938567;-1.124677035;0.4670335914;KEN;53771.301;100666542.666;1.872;246658971.751;4.587;40.8;KEN;5.804879724;4.610815122
KG;2020;17580;-0.6776669159626595;-0.2123830258;;-0.3419767128;KGZ;6579.9;7780874.537;1.183;32800995.971;4.985;28.139999999999997;;;
KH;2020;35408;-0.606396653372334;-0.9593801535;-2.651474175;-0.1243487023;KHM;16718.971;25872798.012;1.548;73955944.078;4.423;;KHM;6.362475906;6.093268723
KM;2020;136;;;;;COM;869.595;1223876.065;1.407;2737360.358;3.148;45.3;;;
KN;2020;360;;;;;KNA;53.192;980905.889;18.441;1363802.433;25.639;;;;
KR;2020;873093;1.1268303517700606;1.8726306431;0.6530564685;0.2770085131;KOR;51836.239;1637895802.793;31.598;2344337686.734;45.226;31.549999999999997;KOR;5.753557475;7.650598831
KW;2020;26225;-0.7115491730180887;0.036945149;-1.041861305;-0.7951362934;KWT;4270.563;105960225.688;24.812;202010996.134;47.303;;KWT;6.503247483;9.381826159
KY;2020;1264;;;;;CYM;65.72;5608989.196;85.347;4763452.231;72.481;;;;
KZ;2020;82566;-0.1925045494914255;-0.2447653303;0.0006547712611;-0.8342477915;KAZ;18755.667;171082379.533;9.122;501722434.767;26.75;27.511111111111113;KAZ;6.42428744;7.998561782
LA;2020;6827;-1.1861853562855649;-0.9731787202;;-0.6938591653;LAO;7275.556;18981800.705;2.609;59939628.583;8.238;37.4;;;
LB;2020;36930;-0.4665183775676524;0.2703082782;-0.7720022168;0.3136356558;LBN;6825.442;25948915.861;3.802;77651647.488;11.377;31.8;LBN;5.843932007;6.180219115
LC;2020;1116;;;;;LCA;183.629;1616772.748;8.805;2333703.228;12.709;51.2;;;
LI;2020;807;;;;;LIE;38.137;;;;;;;;
LK;2020;99803;0.4512970465798371;-0.4876852112;-0.5361275335;-0.6841156648;LKA;21919.001;80969683.537;3.694;289916696.14;13.227;38.56666666666667;LKA;4.772962877;5.151945305
LR;2020;1627;-1.2864110948733196;;;;LBR;5057.677;3039982.54;0.601;7425910.175;1.468;34.25;;;
LS;2020;1488;;;;;LSO;2142.252;2250717.718;1.051;5504168.915;2.569;44.9;;;
LT;2020;63151;0.2709799998602175;0.9057460598;-0.2123571158;-0.4324714903;LTU;2794.885;56546957.475;20.232;108666652.765;38.881;35.83;LTU;5.261993407;8.586730431
LU;2020;17127;-0.1125047654536039;;;;LUX;630.419;73353132.794;116.356;74292443.521;117.846;32.88;;;
LV;2020;41452;-0.1449865611325876;;;;LVA;1900.449;33645460.617;17.704;59721423.981;31.425;35.03000000000001;;;
LY;2020;10778;-1.1773305459763506;-1.4101403735;-0.9201360191;-2.221294009;LBY;6871.287;52320215.472;7.614;118779596.659;17.286;;LBY;6.575988521;8.20475606
MA;2020;167479;-0.6521212280669942;-0.4863927796;-0.01839193334;-0.8206128271;MAR;36910.557;114725065.285;3.108;276391560.114;7.369;39.5;MAR;5.729993378;5.642052648
MC;2020;807;;;;;MCO;39.244;6816219.303;173.688;;;;;;
MD;2020;31989;-0.5284720483652963;-0.1417553589;-0.2645462354;-1.053592775;MDA;2620.495;11859730.544;4.526;33914165.325;12.942;27.810000000000002;MDA;6.004618652;6.431727954
ME;2020;5919;-0.946623757440726;;;;MNE;621.306;4780722.122;7.695;12419691.76;19.99;38.6;;;
MG;2020;11587;-0.8502671625154571;-1.2216442614;;-0.4178342649;MDG;27691.019;13225591.804;0.478;42753630.142;1.544;42.5;;;
MH;2020;115;;;;;MHL;59.194;244462.4;4.13;245483.274;4.147;35.5;;;
