iso2_code;language;num_pushers;period;diversity;ubiquity;mcp;eci;pci;density;coi;cog;rca;year
CZ;NSIS;107;1;61;21;1;1.7427979768563386;2.2982930712368836;0.5284375077002277;2.042304051638736;0.0;2.324218261373058;2021
CZ;Nemerle;0;1;61;1;0;1.7427979768563386;0.8604694356513835;0.024106942481928642;2.042304051638736;-0.01409755020769278;0.0;2021
CZ;Nix;139;1;61;21;1;1.7427979768563386;2.2520614501521865;0.5747343535397319;2.042304051638736;0.0;2.0328126706515444;2021
CZ;Nunjucks;108;1;61;11;1;1.7427979768563386;2.3273984087072517;0.410732576912782;2.042304051638736;0.0;4.439397643561281;2021
CZ;OCaml;0;1;61;11;0;1.7427979768563386;2.343874967629391;0.3789682437977192;2.042304051638736;0.7937419716684818;0.0;2021
CZ;Objective-C;744;1;61;51;0;1.7427979768563386;-0.6191058291320602;0.406717632941113;2.042304051638736;-0.6117495704265217;0.9658946709630326;2021
CZ;Objective-C++;186;1;61;34;1;1.7427979768563386;1.9848919266177574;0.6106632620291188;2.042304051638736;0.0;1.567757911583243;2021
CZ;OpenSCAD;111;1;61;8;1;1.7427979768563386;2.5076861906195367;0.3924329028032538;2.042304051638736;0.0;9.044622594762911;2021
CZ;PHP;1961;1;61;97;1;1.7427979768563386;-0.7736979884236648;0.4498125475451642;2.042304051638736;-0.0;1.1950213500245088;2021
CZ;PLSQL;101;1;61;20;1;1.7427979768563386;2.1187707955672055;0.5012202363420942;2.042304051638736;0.0;2.075613827915032;2021
CZ;PLpgSQL;187;1;61;31;1;1.7427979768563386;1.8712438077245512;0.6115644773504523;2.042304051638736;0.0;1.763321797557624;2021
CZ;Pascal;154;1;61;22;1;1.7427979768563386;2.1613157545314294;0.564048698512069;2.042304051638736;0.0;2.254013746888629;2021
CZ;Pawn;0;1;61;13;0;1.7427979768563386;2.497029502705891;0.40522578293971423;2.042304051638736;0.8537935819907385;0.0;2021
CZ;Perl;738;1;61;31;1;1.7427979768563386;1.9714446729457178;0.6178229410589684;2.042304051638736;0.0;1.9444732740182147;2021
CZ;PostScript;0;1;61;14;0;1.7427979768563386;2.493996232772752;0.41638390420517324;2.042304051638736;0.8557832011978174;0.0;2021
CZ;PowerShell;686;1;61;40;1;1.7427979768563386;0.982267342417878;0.6268475483352061;2.042304051638736;-0.0;1.3680097636101438;2021
CZ;Processing;0;1;61;15;0;1.7427979768563386;2.023966609378565;0.4151873283959729;2.042304051638736;0.6671208339064314;0.0;2021
CZ;Prolog;0;1;61;20;0;1.7427979768563386;2.0066431526567277;0.48057846047670105;2.042304051638736;0.5844093066473085;0.0;2021
