iso2_code;cluster_id;exit01;consider00;pci;ubiquity;rca01;density
BD;17.0;0;1;0.620670340877194;35.0;1.0;0.2916929931534963
BD;18.0;0;1;-0.0693373471202559;78.0;1.0;0.3466524284169034
BD;25.0;0;1;-0.6963174199001649;88.0;1.0;0.4264467660523536
BE;3.0;0;1;1.4108308443018556;38.0;1.0;0.6541154831387592
BE;7.0;0;1;1.9386150162506528;27.0;1.0;0.6706997488088832
BE;9.0;0;1;1.6229599702141266;36.0;1.0;0.7048025129798552
BE;11.0;0;1;-0.4593823573642202;70.0;1.0;0.5995032725779508
BE;12.0;0;1;1.8350581991636397;24.0;1.0;0.6609234681099307
BE;16.0;0;1;1.6264851572309549;31.0;1.0;0.6754926102357341
BE;18.0;0;1;-0.0693373471202559;78.0;1.0;0.622345089470927
BE;20.0;0;1;1.6938870086519855;27.0;1.0;0.6892825442441542
BE;22.0;0;1;1.8127917131459672;26.0;1.0;0.6477303727132275
BE;24.0;0;1;1.4298958491314566;40.0;1.0;0.701915832911611
BE;26.0;0;1;1.4631831505099593;37.0;1.0;0.7003556783435455
BE;27.0;0;1;1.1628686697451447;39.0;1.0;0.6984690585808455
BE;28.0;0;1;1.9259977411386708;28.0;1.0;0.6605431744223988
BE;29.0;0;1;1.8636303512102144;31.0;1.0;0.691811040077928
BE;32.0;0;1;2.055984083255801;23.0;1.0;0.6169536944732629
BE;33.0;0;1;2.0369102602569615;27.0;1.0;0.6674125338059494
BE;34.0;0;1;1.8229487376342035;33.0;1.0;0.6942541420443631
BE;36.0;0;1;1.989139957713472;20.0;1.0;0.5463201550210137
BE;38.0;0;1;1.0508612525067018;33.0;1.0;0.69754240620099
BE;39.0;0;1;1.7491188857965394;31.0;1.0;0.6872712268068667
BE;41.0;0;1;1.7318867513913807;36.0;1.0;0.7029692448614405
BE;42.0;0;1;1.7024775051477614;33.0;1.0;0.7000675119274489
BE;43.0;0;1;2.0510470006348864;24.0;1.0;0.6669941345007894
BE;45.0;0;1;1.760995826961374;32.0;1.0;0.6870179949371948
BE;50.0;0;1;1.3862523463271288;30.0;1.0;0.6697365039437223
BE;52.0;0;1;2.105844263934367;19.0;1.0;0.5598341002435059
BE;54.0;1;0;1.0289466672147716;42.0;0.0;0.7300273935784998
BE;57.0;0;1;1.449350971118556;22.0;1.0;0.632303963724452
BG;12.0;0;1;1.8350581991636397;24.0;1.0;0.2529847949730837
BG;15.0;0;1;-0.2855043385199975;64.0;1.0;0.5279930759282258
BG;16.0;0;1;1.6264851572309549;31.0;1.0;0.2734601133305578
BG;17.0;0;1;0.620670340877194;35.0;1.0;0.405714845201806
BG;18.0;0;1;-0.0693373471202559;78.0;1.0;0.4956160298913268
BG;21.0;0;1;-0.6022948079582562;79.0;1.0;0.517370638433358
BG;24.0;0;1;1.4298958491314566;40.0;1.0;0.3187574575227445
BG;25.0;0;1;-0.6963174199001649;88.0;1.0;0.572708064326799
BG;29.0;0;1;1.8636303512102144;31.0;1.0;0.271195459382275
BG;34.0;0;1;1.8229487376342035;33.0;1.0;0.2847090266080666
BG;42.0;0;1;1.7024775051477614;33.0;1.0;0.288049945605754
BG;45.0;0;1;1.760995826961374;32.0;1.0;0.2838686477929992
BG;54.0;0;1;1.0289466672147716;42.0;1.0;0.3476004837536285
BH;1.0;0;1;-1.5310079173161562;85.0;1.0;0.2259928906024569
BH;10.0;0;1;-0.5355804874514646;45.0;1.0;0.1479880195770139
BH;11.0;0;1;-0.4593823573642202;70.0;1.0;0.1289733320489815
BJ;8.0;0;1;-0.6974731199781783;89.0;1.0;0.1760700389105058
BJ;11.0;0;1;-0.4593823573642202;70.0;1.0;0.1237834838110255
BN;1.0;0;1;-1.5310079173161562;85.0;1.0;0.1362368489447435
BO;1.0;0;1;-1.5310079173161562;85.0;1.0;0.5864810937912488
BO;5.0;0;1;-0.4200124488780521;50.0;1.0;0.4125217249821286
BO;8.0;0;1;-0.6974731199781783;89.0;1.0;0.490272373540856
BO;18.0;0;1;-0.0693373471202559;78.0;1.0;0.3658050662216753
BO;19.0;0;1;-0.609234573418944;79.0;1.0;0.4749493408632731
BO;21.0;0;1;-0.6022948079582562;79.0;1.0;0.4541625074569269
BO;25.0;0;1;-0.6963174199001649;88.0;1.0;0.5350980161990845
BR;1.0;0;1;-1.5310079173161562;85.0;1.0;0.6297563281619322
BR;5.0;0;1;-0.4200124488780521;50.0;1.0;0.4942462610682865
BR;8.0;0;1;-0.6974731199781783;89.0;1.0;0.5204280155642023
