iso2_code;language;entry01;consider00;pci;rca01;rel_density;group
BR;Awk;0;1;2.1886911010482666;0.0;0.0769230769230769;Systems_Low_Level_Programming
BR;Batchfile;0;1;1.6004806766069903;0.0;0.0;Systems_Low_Level_Programming
BR;C;0;1;1.4730524150422353;0.0;0.0;Systems_Low_Level_Programming
BR;C++;0;1;1.3675251369112325;0.0;0.0;Systems_Low_Level_Programming
BR;CMake;0;1;1.9028597668539395;0.0;0.0;Systems_Low_Level_Programming
BR;Clojure;0;1;2.294773071468012;0.0;0.0;Specialized_Research
BR;CoffeeScript;0;1;0.8129349221987214;0.0;0.0;Specialized_Research
BR;Common Lisp;0;1;2.5516496684968644;0.0;0.0;Specialized_Research
BR;Cuda;0;1;2.238044741357388;0.0;0.0;Machine_Learning_Embedded_Systems
BR;Cython;0;1;2.279639442811097;0.0;;
BR;D;0;1;2.489653281966511;0.0;0.0;Specialized_Research
BR;DIGITAL Command Language;0;1;2.5308549720807;0.0;0.125;Specialized_Research
BR;DTrace;0;1;2.574606059376531;0.0;0.0;Scripting_Automation
BR;Dockerfile;0;1;1.1991486271179028;0.0;0.3333333333333333;Web_Application_Development
BR;Emacs Lisp;0;1;2.2318200798117105;0.0;0.0;Systems_Low_Level_Programming
BR;Erlang;0;1;2.469658369935264;0.0;0.0;Specialized_Research
BR;F#;0;1;2.435268123576388;0.0;0.0;Specialized_Research
BR;Forth;1;0;2.29695683710606;0.0;0.0;Scripting_Automation
BR;Fortran;0;1;2.4143750483048088;0.0;0.0;Specialized_Research
BR;FreeMarker;0;1;2.2339926461592823;0.0;0.0;Specialized_Research
BR;GDB;0;1;2.3994460085833924;0.0;0.0;Machine_Learning_Embedded_Systems
BR;GLSL;0;1;2.1554527348539927;0.0;0.0;Systems_Low_Level_Programming
BR;Gherkin;0;1;1.7095135076278267;0.0;0.0;Systems_Low_Level_Programming
BR;Gnuplot;0;1;2.5474543184244856;0.0;0.0;Specialized_Research
BR;Go;0;1;1.4738099718038895;0.0;0.0;Systems_Low_Level_Programming
BR;Groovy;0;1;2.0265268605091222;0.0;0.0;Systems_Low_Level_Programming
BR;HCL;0;1;2.113736651260446;0.0;0.0;Systems_Low_Level_Programming
BR;HLSL;0;1;1.6356441392169607;0.0;0.0;Systems_Low_Level_Programming
