year;iso2_code;language;num_pushers;e_p;e_c;e;rca;rca01;entry01
2020;OM;Lex;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Lex;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Liquid;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Liquid;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Logos;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Logos;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Lua;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Lua;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;M;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;M;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;M4;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;M4;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;MATLAB;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;MATLAB;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Makefile;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Makefile;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Mako;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Mako;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Mathematica;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Mathematica;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Meson;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Meson;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Mustache;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Mustache;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;NASL;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;NASL;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;NSIS;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;NSIS;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Nim;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Nim;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Nix;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Nix;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Nunjucks;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Nunjucks;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;OCaml;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;OCaml;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Objective-C;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Objective-C;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Objective-C++;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Objective-C++;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;OpenEdge ABL;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;OpenEdge ABL;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;OpenSCAD;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;OpenSCAD;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;PHP;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;PHP;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;PLSQL;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;PLSQL;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;PLpgSQL;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;PLpgSQL;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Pascal;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Pascal;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Pawn;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Pawn;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Perl;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Perl;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;PostScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;PostScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;PowerShell;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;PowerShell;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Processing;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Processing;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Procfile;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Procfile;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Prolog;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Prolog;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Pug;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Pug;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Puppet;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Puppet;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;PureBasic;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;PureBasic;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Python;1210.0;7817688.0;8319.0;112428608.0;2.0917642952601074;1.0;1
2022;OM;Python;949.0;6332822.0;6613.0;91185560.0;2.0663147605880847;1.0;0
2020;OM;QML;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;QML;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;QMake;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;QMake;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;R;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;R;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Raku;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Raku;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Rebol;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Rebol;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;RobotFramework;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;RobotFramework;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Roff;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Roff;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Ruby;101.0;2746584.0;8319.0;112428608.0;0.4969746051306043;0.0;0
2022;OM;Ruby;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Rust;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Rust;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;SCSS;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;SCSS;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;SQLPL;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;SQLPL;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;SWIG;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;SWIG;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Sass;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Sass;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Scala;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Scala;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Scheme;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Scheme;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Scilab;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Scilab;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;ShaderLab;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;ShaderLab;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Shell;743.0;7090061.0;8319.0;112428608.0;1.4162650938321684;1.0;1
