iso2_code;language;entry01;consider00;pci;rca01;rel_density
BR;PureBasic;0;1;1.949979747557411;0.0;0.0
BR;Python;0;1;0.1363314420870251;0.0;0.0
BR;QML;0;1;2.250034431709362;0.0;0.0
BR;QMake;0;1;1.973781967724206;0.0;0.0
BR;R;0;1;1.7766913381020464;0.0;0.0
BR;Raku;0;1;2.436369070502254;0.0;0.0
BR;Roff;0;1;2.0836874965079293;0.0;0.0
BR;Ruby;0;1;-0.5314756702149153;0.0;1.0
BR;Rust;0;1;2.2186114515487625;0.0;0.0
BR;SCSS;0;1;-0.6678932864874003;0.0;1.0
BR;SWIG;0;1;2.5317095092037696;0.0;0.25
BR;Scala;0;1;2.121715154928413;0.0;0.0
BR;Scheme;0;1;2.439861014429669;0.0;0.2
BR;Scilab;0;1;2.4954028812605675;0.0;0.0
BR;ShaderLab;0;1;1.4921215937922294;0.0;0.0
BR;Shell;0;1;-0.1879113331490984;0.0;0.5
BR;SmPL;0;1;2.2313656142520846;0.0;0.0
BR;Smalltalk;0;1;2.0691111409745773;0.0;0.0
BR;Smarty;0;1;2.1071504574072;0.0;0.0
BR;Solidity;0;1;1.0639740202511812;0.0;0.5
BR;SourcePawn;0;1;2.5795170308418838;0.0;0.0
BR;Stylus;0;1;1.6141644795992551;0.0;0.0
BR;Svelte;0;1;2.118116949898174;0.0;0.0
BR;SystemVerilog;0;1;2.599802164220415;0.0;0.25
BR;Tcl;0;1;2.2499327587203237;0.0;0.0
BR;TeX;0;1;1.9167178235943527;0.0;0.0
BR;Twig;0;1;1.4076038185774429;0.0;0.0
BR;UnrealScript;0;1;2.181623755457966;0.0;0.0
BR;VBScript;0;1;2.450314574578011;0.0;0.0
BR;Verilog;0;1;2.315797841797346;0.0;1.0
BR;Vim Script;0;1;2.093133788461143;0.0;0.0
BR;Vim Snippet;0;1;2.43315360166284;0.0;0.0
BR;Visual Basic .NET;0;1;1.728613757192946;0.0;0.0
BR;Vue;0;1;-0.44188233198423804;0.0;1.0
BR;XS;0;1;2.180170501997213;0.0;0.0
BR;XSLT;0;1;2.0553182902796423;0.0;0.0
BR;Yacc;0;1;2.119012304204972;0.0;0.25
BR;sed;0;1;2.380232658308562;0.0;0.0
BY;Assembly;0;1;1.9304043185725768;0.0;0.0
BY;Batchfile;0;1;1.6004806766069892;0.0;0.0
BY;Blade;0;1;-0.607868339976934;0.0;0.25
BY;C;0;1;1.4730524150422355;0.0;0.0
BY;C++;0;1;1.3675251369112322;0.0;0.0
BY;CMake;0;1;1.9028597668539395;0.0;0.0
BY;Dart;0;1;-0.7976656432256355;0.0;1.0
BY;Dockerfile;1;0;1.1991486271179024;0.0;0.5
BY;EJS;0;1;0.31669110409502776;0.0;1.0
BY;GLSL;1;0;2.1554527348539922;0.0;0.0
BY;Go;0;1;1.4738099718038895;0.0;0.0
BY;HCL;0;1;2.1137366512604454;0.0;0.0
BY;Hack;0;1;-0.43790827196804394;0.0;0.5
BY;Handlebars;0;1;0.6221021671307078;0.0;1.0
BY;Jupyter Notebook;0;1;0.8471960848148664;0.0;0.0
BY;Lua;0;1;1.955032927393994;0.0;0.0
BY;Makefile;0;1;1.5834986395889006;0.0;0.0
BY;Objective-C;0;1;-0.12118100788074036;0.0;1.0
BY;PHP;0;1;-0.7130581167150217;0.0;0.5
BY;PLpgSQL;1;0;2.0841674928508978;0.0;0.09090909090909091
BY;Perl;0;1;2.0311896384559676;0.0;0.0
BY;PowerShell;0;1;1.164759552252281;0.0;0.0
BY;Python;0;1;0.1363314420870251;0.0;0.0
BY;Roff;0;1;2.0836874965079293;0.0;0.0
BY;Ruby;0;1;-0.5314756702149153;0.0;1.0
BY;Rust;0;1;2.2186114515487625;0.0;0.0
BY;Shell;0;1;-0.1879113331490984;0.0;0.0
BY;Smarty;0;1;2.1071504574072;0.0;0.14285714285714285
BY;Starlark;0;1;0.711259233895177;0.0;0.0
BY;TeX;0;1;1.9167178235943527;0.0;0.0
BY;Vue;0;1;-0.44188233198423804;0.0;0.0
BY;XSLT;0;1;2.0553182902796423;0.0;0.08333333333333333
CA;Ada;0;1;2.44921495706688;0.0;1.0
CA;Blade;0;1;-0.607868339976934;0.0;0.0
CA;C++;0;1;1.3675251369112322;0.0;1.0
CA;CMake;0;1;1.9028597668539395;0.0;1.0
CA;CSS;0;1;-1.2036787142617495;0.0;0.0
CA;Dart;0;1;-0.7976656432256355;0.0;0.0
CA;HTML;0;1;-1.232076495332091;0.0;0.0
CA;Hack;0;1;-0.43790827196804394;0.0;0.5
CA;Java;0;1;-0.38912306692908444;0.0;1.0
CA;JavaScript;0;1;-1.0904736344677202;0.0;0.0
CA;Kotlin;0;1;-0.42841136847310457;0.0;0.0
CA;Less;0;1;-0.2804520567789595;0.0;0.5
CA;Lex;0;1;2.1625991970039027;0.0;1.0
CA;Nunjucks;1;0;2.327867909641276;0.0;1.0
CA;Objective-C;0;1;-0.12118100788074036;0.0;0.0
CA;PHP;0;1;-0.7130581167150217;0.0;0.25
CA;Puppet;0;1;2.171797275176464;0.0;1.0
CA;RobotFramework;1;0;1.6909501528330682;0.0;0.0
CA;SCSS;0;1;-0.6678932864874003;0.0;0.0
CA;Sass;0;1;1.628693523048407;0.0;1.0
CA;Scilab;1;0;2.4954028812605675;0.0;0.6666666666666666
CA;SmPL;1;0;2.2313656142520846;0.0;1.0
CA;Stylus;0;1;1.6141644795992551;0.0;1.0
CA;Swift;0;1;-0.5406199683576715;0.0;0.25
CA;Thrift;1;0;2.605218994346096;0.0;1.0
CA;Twig;0;1;1.4076038185774429;0.0;1.0
CA;TypeScript;0;1;-0.13588730026915347;0.0;0.5
CA;UnrealScript;0;1;2.181623755457966;0.0;0.5
CA;Vue;0;1;-0.44188233198423804;0.0;0.0
CD;Python;1;0;0.1363314420870251;0.0;1.0
CD;TypeScript;1;0;-0.13588730026915347;0.0;0.5
CH;Blade;0;1;-0.607868339976934;0.0;0.0
CH;C#;0;1;0.10924910230999905;0.0;0.3333333333333333
CH;CSS;0;1;-1.2036787142617495;0.0;0.0
CH;Dart;0;1;-0.7976656432256355;0.0;0.0
CH;EJS;0;1;0.31669110409502776;0.0;0.0
CH;Elixir;1;0;2.1800308072295977;0.0;0.6666666666666666
CH;Erlang;1;0;2.4696583699352646;0.0;0.25
CH;FreeMarker;1;0;2.233992646159283;0.0;0.0
CH;GAP;0;1;2.3645671466915834;0.0;1.0
CH;HLSL;0;1;1.63564413921696;0.0;0.5
CH;HTML;0;1;-1.232076495332091;0.0;0.0
CH;Hack;0;1;-0.43790827196804394;0.0;0.0
CH;Handlebars;1;0;0.6221021671307078;0.0;1.0
CH;Inno Setup;1;0;2.545436957346266;0.0;0.5714285714285714
CH;Java;0;1;-0.38912306692908444;0.0;0.0
CH;JavaScript;0;1;-1.0904736344677202;0.0;0.0
CH;Kotlin;0;1;-0.42841136847310457;0.0;0.0
CH;Less;0;1;-0.2804520567789595;0.0;0.0
CH;Objective-C;0;1;-0.12118100788074036;0.0;0.0
CH;PHP;0;1;-0.7130581167150217;0.0;0.25
CH;Pug;0;1;0.6522318478058452;0.0;0.3333333333333333
CH;SCSS;0;1;-0.6678932864874003;0.0;0.0
CH;ShaderLab;0;1;1.4921215937922294;0.0;0.0
CH;Swift;0;1;-0.5406199683576715;0.0;0.25
CH;TSQL;0;1;0.0590910475450887;0.0;0.0
CH;TypeScript;0;1;-0.13588730026915347;0.0;0.0
CH;Vue;0;1;-0.44188233198423804;0.0;0.0
CI;Dockerfile;0;1;1.1991486271179024;0.0;0.0
CI;Java;0;1;-0.38912306692908444;0.0;0.0
CI;Python;0;1;0.1363314420870251;0.0;1.0
CI;Swift;1;0;-0.5406199683576715;0.0;0.75
CL;Assembly;0;1;1.9304043185725768;0.0;0.0
